SessionID,ProfileName,IsOptimized,Timestamp,EventType,Payload,participant_id
5,Optimized ,True,6.040708,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.054626,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,6.151777,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.263025,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.263025,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,6.374273,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.471323,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.54"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,6.485266,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.597172,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.679827,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.54"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,6.707576,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.818858,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,6.888181,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.54"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,6.929921,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.041012,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.096522,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,7.152124,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.263604,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.305,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.54"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,7.374394,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.485396,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.513186,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.54"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,7.596729,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.707641,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.721436,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,7.81893,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.929906,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,7.929906,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,8.04114,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.138582,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,8.152366,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.263426,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.346861,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,8.375448,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.485113,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.55477,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,8.596634,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.707759,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.763327,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,8.81907,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.929832,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,8.971478,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,9.041963,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.15205,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.17973,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,9.262994,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.373977,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.387804,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,9.485169,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.596372,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,9.596372,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.707541,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.804893,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,9.818677,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,9.929442,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.01291,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,10.04056,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.15174,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.22118,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,10.2629,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.374,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.42976,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,10.48556,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.59636,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.6379,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,10.70744,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.81837,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,10.84625,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,10.92944,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.04088,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.05442,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,11.15174,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.26293,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.88,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,11.26293,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.37399,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.47114,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,11.48592,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.59619,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.68046,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.04,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,11.7071,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.81828,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,11.88782,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,11.92944,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.04061,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.09634,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,12.15178,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.26333,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.30457,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.89,1.55,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,12.37374,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.48491,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.51267,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.56,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,12.59615,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.707,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.72107,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.73,2.05,7.53"",""l"": ""31.88,1.56,7.13"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,12.81843,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.92985,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,12.92985,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.72,2.06,7.53"",""l"": ""31.89,1.58,7.14"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,13.04084,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,13.13753,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.71,2.07,7.53"",""l"": ""31.90,1.64,7.15"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,13.15188,gaze_sample,"{""target"": ""Cube""}",5
5,Optimized ,True,13.26374,gaze_sample,"{""target"": ""room-large-variation""}",5
5,Optimized ,True,13.34615,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.71,2.09,7.54"",""l"": ""31.93,1.69,7.17"",""r"": ""31.77,1.58,7.14""}",5
5,Optimized ,True,13.37388,gaze_sample,"{""target"": ""room-large-variation""}",5
5,Optimized ,True,13.48452,gaze_sample,"{""target"": ""room-large-variation""}",5
5,Optimized ,True,13.55421,head_tracking,"{""input_type"": ""Controller"",""h"": ""31.83,1.91,7.22"",""l"": ""32.07,1.53,6.84"",""r"": ""31.89,1.41,6.81""}",5
5,Optimized ,True,13.59612,gaze_sample,"{""target"": ""room-large-variation""}",5
5,Optimized ,True,13.7072,gaze_sample,"{""target"": ""room-large-variation""}",5
